Index,Sentence,Options,CorrectIndex,Label
302,I told my wife I will compromise on most of the things but on holidays I can do whatever I want.,"300,236,111,291",300,A
303,"If the workers cannot work for 20 hours a week, they can quit.","298,271,278,168",298,A
304,"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.","77,308,190,167",308,B
305,I love to talk to people who know about computers because I enjoy learning about computers.,"32,140,308,111",308,C
306,"The fancy Michelin-star restaurant seems to attract a homogeneous clientele, who all appear to wear the same fashion and be around the same age.","296,305,211,21",305,B
307,The lawyers who attended the business seminar talked amongst themselves.,"53,47,308,108",308,C
308,The soccer club is divided into groups of people from the same region who practice often with each other.,"259,130,304,332",304,C
309,All the people who had the same interests at the conference were socializing together.,"304,186,217,290",304,A
310,"You can’t just sell all of your shares when the market is low; look before you leap. Tomorrow, it is possible the shares may rebound.","243,314,138,140",314,B
311,It is better to gauge others before taking such political stands these days. You never know who is on your side and who will cause you harm for it.,"96,165,312,208",312,C
312,"People in the village say that the house is haunted by the ghost of the lady that lived here many years back. So, my father decides to wait to buy it so he can take more opinions from different people.","314,169,272,67",314,A
313,Gary started investing his money and time in creating a small garden for himself during the off season. Gary regrets not planning and starting during the spring and summer season when results are more visible.,"310,183,58,204",310,A
314,"No need to take so much work this quarter, as performance won't impact appraisals. Work more in the next two quarters when the management will actively prioritize it.","178,22,312,3",312,C
315,Samantha should not spend all her savings on the flight tickets during the holidays. She should wait and check after a few months when the prices are low.,"32,313,251,193",313,B
316,The deal was finally in the bag after a few rounds of tough negotiations.,"44,317,227,212",317,B
317,The game was won when the team broke the tie and scored their third goal.,"83,116,197,316",316,D
318,"After months of hard campaigning, the politician had all but secured the election.","317,8,266,31",317,A
319,The job was finally his after the last interview that went well.,"247,92,160,318",318,D
320,"Everyone thought that he would lose, but he made a comeback through herculean effort.","216,217,317,289",317,C
321,"Having received recognition from the management for his diligence, he got the promotion.","24,120,81,316",316,D
322,"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.","136,327,115,171",327,B
323,Sandy is the only one who doesn't show up to the dance class and one of us is always without a partner because of it.,"242,324,166,15",324,B
324,Jim is the only one from our group who has engaged in any sort of criminal activity. Only Jim has ever spent time in jail.,"55,200,297,326",326,D
325,"Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble.","257,130,323,281",323,C
326,"The A team is the best one as it has the best players except Ron, who often negates the others' efforts.","273,327,218,145",327,B
327,"All the songs on her album are amazing, but the last one is the one that ruins the vibe.","319,326,74,122",326,B
328,"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.","255,296,332,140",332,C
329,How can you expect to not to fail if you didn't study for the test at all?.,"117,328,211,152",328,B
330,"Fred built an immense fortune by swindling others, but he lost it all when someone swindled him.","226,333,100,33",333,B
331,"He spent years trying to avoid paying taxes, and now he's facing nearly 10 years in prison for it.","332,29,192,8",332,A
332,She has been talking trash about us all week to everyone. So I don't feel sorry for her when someone spilled all her secrets.,"215,295,333,125",333,C
333,The boy who cried wolf got his comeuppance once the wolves really came.,"218,16,329,164",329,C
334,"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","297,191,287,337",337,D
335,"He wanted to buy a big house and a car, but his father advised him to get a job first.","337,195,103,205",337,A
336,Mary started making vacation plans but realized she might not get leave until the project was done.,"323,337,267,179",337,B
337,"Although Larry looked forward to meeting his favorite author at the event, he had yet to receive an invite.","229,81,336,89",336,C
338,John wanted to build and paint the nursery without having heard the adoption agency's decision.,"69,339,79,134",339,B
339,Sarah wanted to book the honeymoon tickets before she had even been proposed to.,"337,103,27,150",337,A
